Date,Nox
2019-01-01,33
2019-01-02,106
2019-01-03,162
2019-01-04,168
2019-01-05,168
2019-01-06,203
2019-01-07,44
2019-01-08,79
2019-01-09,162
2019-01-10,154
2019-01-11,131
2019-01-12,34
2019-01-13,13
2019-01-14,87
2019-01-15,45
2019-01-16,44
2019-01-17,145
2019-01-18,94
2019-01-19,176
2019-01-20,94
2019-01-21,131
2019-01-22,60
2019-01-23,145
2019-01-24,218
2019-01-25,66
2019-01-26,23
2019-01-27,24
2019-01-28,112
2019-01-29,139
2019-01-30,148
2019-01-31,101
2019-02-01,102
2019-02-02,123
2019-02-03,95
2019-02-04,112
2019-02-05,71
2019-02-06,85
2019-02-07,27
2019-02-08,16
2019-02-09,34
2019-02-10,21
2019-02-11,126
2019-02-12,180
2019-02-13,74
2019-02-14,136
2019-02-15,143
2019-02-16,51
2019-02-17,21
2019-02-18,61
2019-02-19,54
2019-02-20,30
2019-02-21,53
2019-02-22,64
2019-02-23,97
2019-02-24,86
2019-02-25,181
2019-02-26,166
2019-02-27,113
2019-02-28,34
2019-03-01,54
2019-03-02,26
2019-03-03,13
2019-03-04,31
2019-03-05,36
2019-03-06,19
2019-03-07,17
2019-03-08,68
2019-03-09,32
2019-03-10,10
2019-03-11,30
2019-03-12,23
2019-03-13,25
2019-03-14,13
2019-03-15,13
2019-03-16,11
2019-03-17,16
2019-03-18,65
2019-03-19,84
2019-03-20,110
2019-03-21,77
2019-03-22,66
2019-03-23,104
2019-03-24,54
2019-03-25,104
2019-03-26,109
2019-03-27,105
2019-03-28,87
2019-03-29,92
2019-03-30,91
2019-03-31,67
2019-04-01,75
2019-04-02,48
2019-04-03,81
2019-04-04,38
2019-04-05,51
2019-04-06,96
2019-04-07,46
2019-04-08,73
2019-04-09,103
2019-04-10,107
2019-04-11,86
2019-04-12,84
2019-04-13,40
2019-04-14,25
2019-04-15,30
2019-04-16,107
2019-04-17,77
2019-04-18,95
2019-04-19,84
2019-04-20,98
2019-04-21,45
2019-04-22,48
2019-04-23,77
2019-04-24,50
2019-04-25,27
2019-04-26,26
2019-04-27,13
2019-04-28,37
2019-04-29,88
2019-04-30,64
2019-05-01,80
2019-05-02,75
2019-05-03,81
2019-05-04,101
2019-05-05,52
2019-05-06,49
2019-05-07,55
2019-05-08,27
2019-05-09,40
2019-05-10,82
2019-05-11,73
2019-05-12,31
2019-05-13,53
2019-05-14,56
2019-05-15,62
2019-05-16,79
2019-05-17,109
2019-05-18,92
2019-05-19,40
2019-05-20,76
2019-05-21,76
2019-05-22,63
2019-05-23,83
2019-05-24,No data
2019-05-25,No data
2019-05-26,No data
2019-05-27,No data
2019-05-28,No data
2019-05-29,No data
2019-05-30,No data
2019-05-31,No data
2019-06-01,No data
2019-06-02,No data
