Date,Nox
2019-01-01,39
2019-01-02,119
2019-01-03,No data
2019-01-04,No data
2019-01-05,No data
2019-01-06,No data
2019-01-07,No data
2019-01-08,No data
2019-01-09,No data
2019-01-10,78
2019-01-11,66
2019-01-12,18
2019-01-13,10
2019-01-14,57
2019-01-15,39
2019-01-16,47
2019-01-17,49
2019-01-18,136
2019-01-19,83
2019-01-20,83
2019-01-21,91
2019-01-22,107
2019-01-23,129
2019-01-24,259
2019-01-25,46
2019-01-26,29
2019-01-27,13
2019-01-28,55
2019-01-29,59
2019-01-30,104
2019-01-31,144
2019-02-01,110
2019-02-02,59
2019-02-03,47
2019-02-04,56
2019-02-05,141
2019-02-06,94
2019-02-07,39
2019-02-08,25
2019-02-09,20
2019-02-10,51
2019-02-11,105
2019-02-12,86
2019-02-13,65
2019-02-14,103
2019-02-15,126
2019-02-16,40
2019-02-17,30
2019-02-18,33
2019-02-19,43
2019-02-20,48
2019-02-21,71
2019-02-22,116
2019-02-23,80
2019-02-24,194
2019-02-25,229
2019-02-26,304
2019-02-27,261
2019-02-28,162
2019-03-01,95
2019-03-02,26
2019-03-03,23
2019-03-04,30
2019-03-05,52
2019-03-06,40
2019-03-07,30
2019-03-08,47
2019-03-09,25
2019-03-10,28
2019-03-11,30
2019-03-12,32
2019-03-13,19
2019-03-14,23
2019-03-15,25
2019-03-16,25
2019-03-17,18
2019-03-18,61
2019-03-19,69
2019-03-20,76
2019-03-21,77
2019-03-22,35
2019-03-23,44
2019-03-24,22
2019-03-25,56
2019-03-26,47
2019-03-27,41
2019-03-28,133
2019-03-29,146
2019-03-30,62
2019-03-31,25
2019-04-01,70
2019-04-02,63
2019-04-03,65
2019-04-04,54
2019-04-05,54
2019-04-06,57
2019-04-07,33
2019-04-08,43
2019-04-09,33
2019-04-10,58
2019-04-11,91
2019-04-12,101
2019-04-13,67
2019-04-14,44
2019-04-15,54
2019-04-16,63
2019-04-17,57
2019-04-18,78
2019-04-19,70
2019-04-20,80
2019-04-21,50
2019-04-22,54
2019-04-23,63
2019-04-24,64
2019-04-25,73
2019-04-26,36
2019-04-27,18
2019-04-28,42
2019-04-29,72
2019-04-30,79
2019-05-01,73
2019-05-02,41
2019-05-03,80
2019-05-04,46
2019-05-05,36
2019-05-06,37
2019-05-07,71
2019-05-08,54
2019-05-09,79
2019-05-10,74
2019-05-11,71
2019-05-12,45
2019-05-13,53
2019-05-14,74
2019-05-15,63
2019-05-16,63
2019-05-17,53
2019-05-18,72
2019-05-19,34
2019-05-20,41
2019-05-21,36
2019-05-22,54
2019-05-23,49
2019-05-24,31
2019-05-25,31
2019-05-26,17
2019-05-27,20
2019-05-28,61
2019-05-29,54
2019-05-30,26
2019-05-31,35
2019-06-01,44
2019-06-02,23
2019-06-03,27
2019-06-04,62
2019-06-05,43
2019-06-06,57
2019-06-07,70
2019-06-08,36
2019-06-09,36
2019-06-10,68
2019-06-11,51
2019-06-12,64
2019-06-13,64
2019-06-14,61
2019-06-15,38
2019-06-16,28
2019-06-17,30
2019-06-18,46
2019-06-19,57
2019-06-20,47
2019-06-21,56
2019-06-22,55
2019-06-23,25
2019-06-24,67
2019-06-25,65
2019-06-26,50
2019-06-27,52
2019-06-28,42
2019-06-29,43
2019-06-30,13
2019-07-01,19
2019-07-02,31
2019-07-03,50
2019-07-04,36
2019-07-05,26
2019-07-06,29
2019-07-07,36
2019-07-08,44
2019-07-09,54
2019-07-10,66
2019-07-11,38
2019-07-12,30
2019-07-13,38
2019-07-14,30
2019-07-15,54
2019-07-16,48
2019-07-17,57
2019-07-18,35
2019-07-19,59
2019-07-20,22
2019-07-21,20
2019-07-22,22
2019-07-23,50
2019-07-24,41
2019-07-25,70
2019-07-26,55
2019-07-27,30
2019-07-28,19
2019-07-29,35
2019-07-30,44
2019-07-31,34
2019-08-01,46
2019-08-02,46
2019-08-03,54
2019-08-04,34
2019-08-05,30
2019-08-06,29
2019-08-07,28
2019-08-08,39
2019-08-09,29
2019-08-10,15
2019-08-11,13
2019-08-12,35
2019-08-13,46
2019-08-14,67
2019-08-15,27
2019-08-16,31
2019-08-17,25
2019-08-18,16
2019-08-19,31
2019-08-20,43
2019-08-21,34
2019-08-22,23
2019-08-23,53
2019-08-24,65
2019-08-25,56
2019-08-26,47
2019-08-27,71
2019-08-28,53
2019-08-29,38
2019-08-30,27
2019-08-31,25
2019-09-01,27
2019-09-02,34
2019-09-03,27
2019-09-04,27
2019-09-05,29
2019-09-06,29
2019-09-07,48
2019-09-08,46
2019-09-09,71
2019-09-10,53
2019-09-11,27
2019-09-12,29
2019-09-13,60
2019-09-14,65
2019-09-15,25
2019-09-16,60
2019-09-17,58
2019-09-18,97
2019-09-19,112
2019-09-20,89
2019-09-21,72
2019-09-22,69
2019-09-23,43
2019-09-24,59
2019-09-25,85
2019-09-26,37
2019-09-27,32
2019-09-28,27
2019-09-29,35
2019-09-30,74
2019-10-01,52
2019-10-02,47
2019-10-03,137
2019-10-04,69
2019-10-05,74
2019-10-06,29
2019-10-07,47
2019-10-08,35
2019-10-09,47
2019-10-10,28
2019-10-11,38
2019-10-12,50
2019-10-13,40
2019-10-14,84
2019-10-15,63
2019-10-16,79
2019-10-17,84
2019-10-18,46
