Date,NOx
2019-01-01,62
2019-01-02,111
2019-01-03,115
2019-01-04,127
2019-01-05,112
2019-01-06,88
2019-01-07,88
2019-01-08,78
2019-01-09,127
2019-01-10,147
2019-01-11,164
2019-01-12,45
2019-01-13,27
2019-01-14,87
2019-01-15,110
2019-01-16,116
2019-01-17,116
2019-01-18,111
2019-01-19,40
2019-01-20,104
2019-01-21,170
2019-01-22,131
2019-01-23,195
2019-01-24,246
2019-01-25,111
2019-01-26,87
2019-01-27,28
2019-01-28,111
2019-01-29,162
2019-01-30,168
2019-01-31,98
2019-02-01,77
2019-02-02,94
2019-02-03,131
2019-02-04,153
2019-02-05,181
2019-02-06,150
2019-02-07,86
2019-02-08,78
2019-02-09,71
2019-02-10,54
2019-02-11,185
2019-02-12,219
2019-02-13,139
2019-02-14,205
2019-02-15,250
2019-02-16,84
2019-02-17,57
2019-02-18,97
2019-02-19,113
2019-02-20,123
2019-02-21,116
2019-02-22,204
2019-02-23,152
2019-02-24,116
2019-02-25,210
2019-02-26,180
2019-02-27,236
2019-02-28,165
2019-03-01,116
2019-03-02,76
2019-03-03,41
2019-03-04,69
2019-03-05,98
2019-03-06,70
2019-03-07,82
2019-03-08,125
2019-03-09,68
2019-03-10,37
2019-03-11,64
2019-03-12,73
2019-03-13,51
2019-03-14,56
2019-03-15,56
2019-03-16,60
2019-03-17,37
2019-03-18,109
2019-03-19,98
2019-03-20,108
2019-03-21,109
2019-03-22,90
2019-03-23,76
2019-03-24,43
2019-03-25,67
2019-03-26,87
2019-03-27,90
2019-03-28,141
2019-03-29,183
2019-03-30,109
2019-03-31,16
2019-04-01,51
2019-04-02,95
2019-04-03,102
2019-04-04,48
2019-04-05,28
2019-04-06,24
2019-04-07,22
2019-04-08,35
2019-04-09,30
2019-04-10,36
2019-04-11,50
2019-04-12,50
2019-04-13,29
2019-04-14,19
2019-04-15,27
2019-04-16,42
2019-04-17,37
2019-04-18,42
2019-04-19,41
2019-04-20,53
2019-04-21,37
2019-04-22,30
2019-04-23,39
2019-04-24,48
2019-04-25,67
2019-04-26,68
2019-04-27,39
2019-04-28,31
2019-04-29,38
2019-04-30,83
2019-05-01,96
2019-05-02,63
2019-05-03,51
2019-05-04,38
2019-05-05,49
2019-05-06,34
2019-05-07,58
2019-05-08,58
2019-05-09,47
2019-05-10,58
2019-05-11,55
2019-05-12,43
2019-05-13,68
2019-05-14,48
2019-05-15,39
2019-05-16,30
2019-05-17,27
2019-05-18,48
2019-05-19,46
2019-05-20,52
2019-05-21,50
2019-05-22,76
2019-05-23,70
2019-05-24,52
2019-05-25,41
2019-05-26,29
2019-05-27,37
2019-05-28,47
2019-05-29,69
2019-05-30,51
2019-05-31,74
2019-06-01,52
2019-06-02,35
2019-06-03,72
2019-06-04,44
2019-06-05,78
2019-06-06,79
2019-06-07,68
2019-06-08,66
2019-06-09,47
2019-06-10,45
2019-06-11,28
2019-06-12,88
2019-06-13,108
2019-06-14,78
2019-06-15,58
2019-06-16,39
2019-06-17,62
2019-06-18,70
2019-06-19,74
2019-06-20,71
2019-06-21,82
2019-06-22,32
2019-06-23,14
2019-06-24,56
2019-06-25,47
2019-06-26,29
2019-06-27,21
2019-06-28,18
2019-06-29,28
2019-06-30,27
2019-07-01,49
2019-07-02,56
2019-07-03,44
2019-07-04,80
2019-07-05,63
2019-07-06,49
2019-07-07,19
2019-07-08,23
2019-07-09,64
2019-07-10,75
2019-07-11,69
2019-07-12,46
2019-07-13,44
2019-07-14,16
2019-07-15,51
2019-07-16,81
2019-07-17,84
2019-07-18,69
2019-07-19,70
2019-07-20,48
2019-07-21,43
2019-07-22,61
2019-07-23,53
2019-07-24,67
2019-07-25,69
2019-07-26,67
2019-07-27,55
2019-07-28,28
2019-07-29,67
2019-07-30,29
2019-07-31,58
2019-08-01,63
2019-08-02,50
2019-08-03,39
2019-08-04,32
2019-08-05,61
2019-08-06,60
2019-08-07,59
2019-08-08,64
2019-08-09,40
2019-08-10,48
2019-08-11,28
2019-08-12,58
2019-08-13,78
2019-08-14,64
2019-08-15,55
2019-08-16,65
2019-08-17,58
2019-08-18,32
2019-08-19,68
2019-08-20,78
2019-08-21,88
2019-08-22,73
2019-08-23,88
2019-08-24,70
2019-08-25,40
2019-08-26,43
2019-08-27,71
2019-08-28,80
2019-08-29,82
2019-08-30,76
2019-08-31,50
