Date,NOx
2019-01-01,73
2019-01-02,183
2019-01-03,205
2019-01-04,145
2019-01-05,178
2019-01-06,58
2019-01-07,50
2019-01-08,136
2019-01-09,186
2019-01-10,188
2019-01-11,137
2019-01-12,23
2019-01-13,16
2019-01-14,171
2019-01-15,62
2019-01-16,65
2019-01-17,117
2019-01-18,229
2019-01-19,83
2019-01-20,125
2019-01-21,143
2019-01-22,118
2019-01-23,302
2019-01-24,338
2019-01-25,79
2019-01-26,33
2019-01-27,24
2019-01-28,130
2019-01-29,92
2019-01-30,227
2019-01-31,268
2019-02-01,261
2019-02-02,109
2019-02-03,60
2019-02-04,85
2019-02-05,195
2019-02-06,123
2019-02-07,39
2019-02-08,29
2019-02-09,23
2019-02-10,59
2019-02-11,207
2019-02-12,92
2019-02-13,81
2019-02-14,227
2019-02-15,177
2019-02-16,35
2019-02-17,29
2019-02-18,53
2019-02-19,59
2019-02-20,42
2019-02-21,73
2019-02-22,171
2019-02-23,98
2019-02-24,125
2019-02-25,237
2019-02-26,243
2019-02-27,273
2019-02-28,199
2019-03-01,132
2019-03-02,26
2019-03-03,30
2019-03-04,29
2019-03-05,49
2019-03-06,49
2019-03-07,36
2019-03-08,108
2019-03-09,24
2019-03-10,25
2019-03-11,43
2019-03-12,44
2019-03-13,23
2019-03-14,24
2019-03-15,26
2019-03-16,18
2019-03-17,22
2019-03-18,110
2019-03-19,83
2019-03-20,73
2019-03-21,150
2019-03-22,47
2019-03-23,109
2019-03-24,37
2019-03-25,141
2019-03-26,83
2019-03-27,106
2019-03-28,118
2019-03-29,81
2019-03-30,105
2019-03-31,42
2019-04-01,118
2019-04-02,179
2019-04-03,218
2019-04-04,84
2019-04-05,73
2019-04-06,116
2019-04-07,89
2019-04-08,132
2019-04-09,98
2019-04-10,134
2019-04-11,120
2019-04-12,155
2019-04-13,71
2019-04-14,36
2019-04-15,64
2019-04-16,102
2019-04-17,172
2019-04-18,134
2019-04-19,93
2019-04-20,80
2019-04-21,44
2019-04-22,46
2019-04-23,119
2019-04-24,122
2019-04-25,109
2019-04-26,69
2019-04-27,13
2019-04-28,59
2019-04-29,186
2019-04-30,132
2019-05-01,150
2019-05-02,105
2019-05-03,252
2019-05-04,97
2019-05-05,60
2019-05-06,58
2019-05-07,161
2019-05-08,111
2019-05-09,208
2019-05-10,192
2019-05-11,119
2019-05-12,55
2019-05-13,93
2019-05-14,125
2019-05-15,127
2019-05-16,84
2019-05-17,128
2019-05-18,125
2019-05-19,90
2019-05-20,125
2019-05-21,87
2019-05-22,66
2019-05-23,79
2019-05-24,57
2019-05-25,47
2019-05-26,12
2019-05-27,29
2019-05-28,171
2019-05-29,67
2019-05-30,22
2019-05-31,37
2019-06-01,37
2019-06-02,15
2019-06-03,30
2019-06-04,101
2019-06-05,58
2019-06-06,60
2019-06-07,99
2019-06-08,31
2019-06-09,28
2019-06-10,172
2019-06-11,137
2019-06-12,196
2019-06-13,90
2019-06-14,69
2019-06-15,34
2019-06-16,18
2019-06-17,31
2019-06-18,93
2019-06-19,149
2019-06-20,53
2019-06-21,76
2019-06-22,59
2019-06-23,29
2019-06-24,119
2019-06-25,157
2019-06-26,142
2019-06-27,87
2019-06-28,66
2019-06-29,49
2019-06-30,10
2019-07-01,21
2019-07-02,91
2019-07-03,114
2019-07-04,47
2019-07-05,53
2019-07-06,42
2019-07-07,48
2019-07-08,92
2019-07-09,86
2019-07-10,48
2019-07-11,41
2019-07-12,92
2019-07-13,78
2019-07-14,61
2019-07-15,118
2019-07-16,95
2019-07-17,82
2019-07-18,42
2019-07-19,54
2019-07-20,17
2019-07-21,19
2019-07-22,21
2019-07-23,70
2019-07-24,64
2019-07-25,63
2019-07-26,106
2019-07-27,34
2019-07-28,43
2019-07-29,47
2019-07-30,52
2019-07-31,26
2019-08-01,93
2019-08-02,138
2019-08-03,66
2019-08-04,26
2019-08-05,29
2019-08-06,33
2019-08-07,27
2019-08-08,65
2019-08-09,31
2019-08-10,10
2019-08-11,10
2019-08-12,58
2019-08-13,73
2019-08-14,91
2019-08-15,33
2019-08-16,32
2019-08-17,21
2019-08-18,13
2019-08-19,33
2019-08-20,57
2019-08-21,42
2019-08-22,28
2019-08-23,70
2019-08-24,55
2019-08-25,38
2019-08-26,55
2019-08-27,114
2019-08-28,46
2019-08-29,41
2019-08-30,31
2019-08-31,23
2019-09-01,23
2019-09-02,42
2019-09-03,32
2019-09-04,35
2019-09-05,61
2019-09-06,31
2019-09-07,107
2019-09-08,60
2019-09-09,137
2019-09-10,85
2019-09-11,37
2019-09-12,39
2019-09-13,140
2019-09-14,57
2019-09-15,53
2019-09-16,179
2019-09-17,151
2019-09-18,173
2019-09-19,177
2019-09-20,111
2019-09-21,58
2019-09-22,55
2019-09-23,48
2019-09-24,57
2019-09-25,133
2019-09-26,51
2019-09-27,35
2019-09-28,23
2019-09-29,43
2019-09-30,117
2019-10-01,160
2019-10-02,140
2019-10-03,155
2019-10-04,139
2019-10-05,104
2019-10-06,50
2019-10-07,93
2019-10-08,38
2019-10-09,43
2019-10-10,36
2019-10-11,36
2019-10-12,50
2019-10-13,59
2019-10-14,199
2019-10-15,85
2019-10-16,83
2019-10-17,144
2019-10-18,54
2019-10-19,51
2019-10-20,69
2019-10-21,167
2019-10-22,96
2019-10-23,168
2019-10-24,125
2019-10-25,90
2019-10-26,135
2019-10-27,45
2019-10-28,236
2019-10-29,223
2019-10-30,237
2019-10-31,265
2019-11-01,79
2019-11-02,49
2019-11-03,77
2019-11-04,261
2019-11-05,176
2019-11-06,191
2019-11-07,165
2019-11-08,147
2019-11-09,203
2019-11-10,132
2019-11-11,48
2019-11-12,47
2019-11-13,204
2019-11-14,200
2019-11-15,190
2019-11-16,113
2019-11-17,106
2019-11-18,183
2019-11-19,276
2019-11-20,180
2019-11-21,143
2019-11-22,96
2019-11-23,113
2019-11-24,100
2019-11-25,98
2019-11-26,83
2019-11-27,152
2019-11-28,203
2019-11-29,251
2019-11-30,355
2019-12-01,124
2019-12-02,200
2019-12-03,124
2019-12-04,126
2019-12-05,65
2019-12-06,31
2019-12-07,37
2019-12-08,17
2019-12-09,148
2019-12-10,31
2019-12-11,89
2019-12-12,91
2019-12-13,63
2019-12-14,38
2019-12-15,29
2019-12-16,159
2019-12-17,251
2019-12-18,135
2019-12-19,62
2019-12-20,114
2019-12-21,84
2019-12-22,89
2019-12-23,46
2019-12-24,42
2019-12-25,60
2019-12-26,55
2019-12-27,98
2019-12-28,44
2019-12-29,25
2019-12-30,55
2019-12-31,185
2020-01-01,42
2020-01-02,26
2020-01-03,64
2020-01-04,26
